country,Obs. all,Expected all,p all
IND,-67.3457962314558,0.295651960672956,0.99999
EGY,26.9485557637092,1.16015648326331,0.17498
BAN,-52.3019131166228,1.63902579350578,0.95855
INA,-78.9619310369663,1.55710921174151,0.99145
SWE,-65.5231691766456,0.893110670239835,0.99754
DEN,-44.1838941906022,1.33143999148862,0.94473
IRI,-16.9035238395989,0.199423185052492,0.86727
NOR,-33.6641433313642,1.03729379662887,0.89641
NED,-77.3303950325322,0.626206284872167,0.99992
RUS,-10.1197411607936,0.103848712020408,0.89633
USA,-29.3416446377813,0.732856514447632,0.91312
MAS,-8.78356298757814,1.02273548628846,0.63405
FRA,-0.811106836717897,0.0941491458728786,0.54888
ESP,-23.1439420181403,0.0981036862439137,0.99634
ECU,53.0685577973191,0.909394428720415,0.05116
PHI,54.5148407041284,0.551000358452822,0.01283
TUR,7.96286010228704,0.341513848050523,0.32141
SUI,-82.1614587791937,1.37490364011069,0.9989
GEO,77.8656258888898,0.400193055750781,0.005
ARG,-11.8571451866535,1.15911016468624,0.67329
CUB,35.0840413352019,0.592801210246255,0.02443
CHI,15.5353357144643,0.954208015062477,0.28755
MEX,36.8483730312987,0.526198263764713,0.0291400000000001
CRC,-4.12827327174847,1.33984867294719,0.57208
PER,38.3279066749789,1.35842808646846,0.13002
AZE,44.4070237720831,1.09843759409735,0.09611
VEN,12.7917062130827,1.17187853017477,0.34133
ITA,-36.6337617230927,0.285314870619874,0.99232
GRE,40.285102499471,0.284181313643064,0.00109000000000004
ENG,-29.6789954377057,0.949562576052069,0.89828
AUS,-27.9142248275314,2.21061623298376,0.78814
BRA,24.2157298240587,0.409804918306457,0.05482
ALG,-0.817552623074505,1.49489844284764,0.53161
KAZ,-2.19109606674647,0.543133798918952,0.54107
UZB,52.5801231252754,1.16385096834625,0.07758
GER,-10.8157873091251,0.0455618324168205,0.93846
SLO,49.7039438695735,1.22824889998168,0.05143
HUN,-25.5532278891561,0.493080092451578,0.94608
SRB,-45.229818473778,0.471033185711722,0.99869
SVK,-52.2747126354584,0.479232756514472,0.99823
SRI,72.5098614324427,0.279510949487029,0
ARM,57.9642045686952,1.51028634920755,0.0731500000000001
CRO,-35.7234229450759,0.750615460319354,0.96932
BEL,-2.08040293903434,0.917933536305625,0.55873
KEN,62.1841379791582,1.12876930161341,0.00997000000000003
ISR,8.85937037580885,1.32219638113539,0.40133
AUT,-59.3565934113222,0.618482576583164,0.99912
LAT,16.5416936660934,1.22199829492548,0.3272
RSA,9.3516378768295,1.14547442740603,0.38069
UKR,2.94661048633935,0.430026646045511,0.44732
COL,-7.29714605489414,0.413218624283376,0.66677
CZE,-25.6040359983465,0.310057583750662,0.97298
CHN,71.1619950944081,0.213554672850526,0.000929999999999986
BOL,32.9947390644383,0.752071827223892,0.14226
NEP,37.9088232102498,1.50738003740928,0.08861
ROU,-9.22961426470101,0.530588642040402,0.66987
POL,18.1878347439906,0.142055321985605,0.05459
BOT,33.0917361388256,0.778546534043683,0.1153
LTU,29.3066958712609,0.794113702834441,0.16463
MGL,17.1332597984706,0.94322899820027,0.33392
BUL,-6.31405785369464,1.14510019659399,0.59029
KOR,69.8709759251741,1.61752323096604,0.0577299999999999
ZAM,-31.4804797375543,2.29320444292248,0.82285
VIE,61.7970609870466,0.743716260647515,0.04038
