country,Obs. all,Expected all,p all
IND,-30.2107352143139,-29.5177576508464,0.56253
EGY,-59.5958802805177,-9.34784316281146,0.87397
BAN,3.7836517769684,-22.3306809673217,0.27745
MAS,37.298672782175,-9.47328906726031,0.11991
IRQ,-66.694265132433,-55.253121203719,0.67053
INA,-66.0122767740174,-33.2294413045012,0.86122
IRI,-35.9108228512348,-42.7156451180065,0.4605
SWE,-86.0073173219235,-45.9623684394613,0.91098
DEN,-15.6273009609387,-73.9230974437645,0.03669
SGP,-179.6496274353,-145.673960470362,0.74617
NOR,20.7555357642864,-25.6805333358914,0.14056
NED,-7.04865567068556,-40.2109416373258,0.13291
RUS,-22.6068461002177,-24.244790503444,0.46473
UAE,14.7414639728764,-31.0801591742011,0.33906
AUS,-109.552413186547,-105.506116776612,0.54752
SRI,18.3063654566847,0.400422430754561,0.46635
USA,-6.7554461384041,-43.5277412866608,0.08914
FRA,-35.0196268302773,-16.0160505784017,0.84015
TUR,-97.6921352533772,-36.8189610718215,0.98818
CUB,-29.1702394257367,-18.2040291784889,0.72889
ESP,-29.25157536718,-17.1227152902261,0.74579
PER,-78.3202612378412,-59.7492441371119,0.6965
ECU,-22.1248631961774,-35.4081424581354,0.41196
PHI,-17.719506384409,-33.5473166802245,0.27041
SUI,-25.5902613646557,-40.1477204827583,0.34427
KGZ,-78.6082257075646,-110.897826444857,0.20798
ARM,-38.2438229829215,-81.3142675356922,0.07655
GEO,-22.8834684072749,-21.8545598916081,0.59199
ARG,-51.1196460181734,-81.8917785828616,0.16602
ITA,-71.8919868711195,-41.0172064155825,0.88674
JOR,-142.197630544782,-59.8986848295912,0.92746
CHI,1.93772584259381,-52.1701330034754,0.0345
MEX,-9.90268851574126,-18.6130386940246,0.50091
CRC,-2.5378331364364,-41.9913461321038,0.15513
AZE,2.90662884159524,-38.273182027569,0.08962
VEN,2.24256428669406,-41.4740071362801,0.09099
KAZ,-41.3177700478377,-39.6311587396818,0.56877
GRE,-70.6069146625814,-53.4510457800158,0.77879
ENG,-71.0706580313844,-36.3465400872571,0.85485
POL,-8.85948859303994,-20.9053784292475,0.38999
BRA,-73.3544828840372,-67.5791971117758,0.58239
CAN,-101.390037397788,-71.2191492038164,0.7913
ALG,-0.935835373980765,0.155609598660849,0.49786
BIH,-54.5306358014255,-28.4464884595472,0.78047
UZB,-82.5106232034301,-61.610804292537,0.74048
ISR,-53.7021317323319,-78.8306010921997,0.19134
GER,-31.8864709795721,-39.9002188706722,0.30448
POR,-58.1321595588251,-74.5963796134591,0.35384
SLO,13.6201534797641,-28.1193168043105,0.05609
HUN,-0.321281971505805,-38.0342783453018,0.06904
SRB,-5.98524494459603,-31.7707565422073,0.07735
SVK,-32.9796711016921,-60.3157571048797,0.15627
CRO,-20.5517099169111,-56.4043979079143,0.08453
BEL,-73.7676047887199,-58.9827144780864,0.69998
KEN,-17.4261064378226,-47.0661855062297,0.14201
ANG,-99.445142223973,-69.3966025201419,0.83572
AUT,9.0984105797632,-16.2646303639159,0.14816
LAT,-14.7509827013606,-41.0160295307762,0.19332
EST,-64.9212925598742,-63.21311728563,0.55313
RSA,0.000534798549324478,-49.5193271428569,0.08433
MDA,-68.9943979560958,-86.344073095184,0.3567
UKR,-79.9874149590691,-53.1551391603001,0.9622
BLR,-44.9745830885383,-79.9553300638922,0.15385
DOM,4.63409618167898,-49.7221024144294,0.01867
COL,-17.2949640854068,-50.5930146971001,0.04774
ROU,-29.756810412103,-38.2017971013189,0.40184
CZE,15.7384060154049,-32.4067916454722,0.02341
CHN,-31.9547549788643,-28.7283548083387,0.58731
BOL,-37.6280887932608,-16.1533197862856,0.70295
NEP,0.258165398453428,-39.1251936993523,0.09138
BOT,-0.0636521665937835,-29.9098746029932,0.19553
LTU,-117.080570304876,-64.9794798130679,0.97739
MGL,-65.0993273372233,-25.965606055462,0.94523
BUL,-6.96474460087426,-31.0625868388751,0.29211
KOR,-36.5478998345084,-35.2973859601254,0.52122
ZAM,-61.8827107196304,-59.3043429467275,0.51634
ZIM,42.9557230986022,-14.8813963827975,0.09411
THA,-12.7354949900125,-66.1089135980955,0.10502
VIE,32.0368202109074,-8.94593588174547,0.21638
