country,Obs. all,Expected all,p all
IND,3.71319807397214,0.077235510420217,0.34053
EGY,8.71481104756077,0.875203117255119,0.37227
BAN,-24.5626493468859,0.95809577290245,0.8585
MAS,49.7251080082199,0.382826942179815,0.00361
IRQ,27.8888543749364,0.911665133887479,0.16447
INA,-55.4434449279731,1.05134457666707,0.96791
IRI,29.3859310185676,0.0982978615163404,0.00126000000000004
SWE,-46.7342442012345,0.592903981341174,0.99008
DEN,-45.7694429045475,1.25521445271135,0.96159
SGP,56.8342544474346,2.26763597308912,0.12902
NOR,-15.6040111827423,0.945160614370043,0.75511
NED,-72.3362438061102,0.558770526256358,0.99992
RUS,51.0002811860316,0.0216145687882937,0
UAE,181.810565969581,0.976137008680159,4.99999999999945e-05
AUS,1.6982692194901,0.938324275544444,0.48851
SRI,69.2268043679016,0.111707011523436,0
USA,-13.054834980737,0.320461670943883,0.82413
FRA,27.1087156731305,0.0330709219074838,9.99999999995449e-06
TUR,34.1547701106546,0.14499632005309,0.00109999999999999
CUB,4.75709765590852,0.205429899247116,0.38833
ESP,4.08722736564715,0.0819040263233175,0.27894
PER,95.2081059423662,0.293670952286196,0
ECU,52.7285052560873,0.573856650132957,0.02271
PHI,90.8146552657542,0.328451371724358,9.99999999995449e-06
SUI,-55.4730407201064,0.871441360753762,0.99232
KGZ,59.5802365416371,1.40224142271601,0.05541
ARM,53.2862246568404,0.690388466113224,0.04235
GEO,-9.83810847990776,0.398608363506375,0.65509
ARG,-32.20626364547,0.552622832637726,0.94438
ITA,2.0422670329757,0.235345387522628,0.43824
JOR,43.8942309608715,1.52408366348766,0.12377
CHI,38.7748395391687,0.572450628038386,0.02846
MEX,30.4650472792709,0.332960502143067,0.0348000000000001
CRC,31.7462715997586,0.546037332835019,0.10902
AZE,43.7648154171832,0.649239887139192,0.06363
VEN,39.6264042207607,0.546320759039488,0.02513
KAZ,13.5005076480285,0.34534080277389,0.24139
GRE,70.7563697774033,0.0998736058255091,0
ENG,-16.9298458433297,0.549120918940476,0.83187
POL,29.3928096196694,0.112087325300984,0.000619999999999954
BRA,33.6298692070508,0.177333876965347,0.00309999999999999
CAN,-6.76579121905996,0.99682835204138,0.61956
ALG,36.2710554076231,0.702566536806769,0.09304
BIH,-47.7813178586347,2.19674154102739,0.90704
UZB,58.4504084364384,0.548439028325771,0.02181
ISR,8.72477569967998,0.565606715124167,0.36116
GER,-9.55082547865021,0.0858501249368779,0.93654
POR,16.9049811777529,0.949216794402627,0.28387
SLO,-33.7604044145919,0.717566389696079,0.91576
HUN,-28.9083135820479,0.190497394334564,0.98825
SRB,-66.3572557097954,0.245133167375873,1
SVK,-49.7841249855078,0.368998327891379,0.99951
CRO,-45.5729217626424,0.439295409697759,0.99475
BEL,11.7342494220011,0.360525711301331,0.25732
KEN,60.6770842055897,0.927264773770408,0.00534000000000001
ANG,-0.465229855469147,1.5064282108303,0.51692
AUT,-63.9283847130351,0.609829630667509,0.99996
LAT,19.4982272867922,0.382054654033133,0.23929
EST,28.2894241583911,0.872357090123782,0.21342
RSA,52.9900409412975,0.460643593249729,0.00422999999999996
MDA,68.8654294618115,0.754761895777559,0.0270899999999999
UKR,14.0573599038189,0.233266156209247,0.16869
BLR,34.530632807993,0.518357230311216,0.1241
DOM,30.0469122233847,1.86600325969075,0.17377
COL,0.892859090801778,0.192484430371733,0.4828
ROU,5.75100658274056,0.260536278671634,0.35261
CZE,-52.2046242411442,0.191547874942413,1
CHN,-1.95061296325036,0.234135069354762,0.54432
BOL,80.6563179654844,0.490580698554811,0.000360000000000027
NEP,39.6759827924623,1.24016600831941,0.05676
BOT,32.6443550089726,0.487868135684474,0.06121
LTU,28.737673938854,0.563511589090361,0.12961
MGL,21.6225265800198,0.298521204191541,0.21239
BUL,19.3042899628396,0.637397299163221,0.21521
KOR,65.391113253203,1.41891005411548,0.0389
ZAM,-27.8677696289467,2.42750045725458,0.80042
ZIM,34.4140870740454,1.60248478821364,0.19713
THA,140.77228915349,1.10770762163006,2.99999999999745e-05
VIE,35.4688316694562,0.197965817050688,0.07966
