country,Obs. all,Expected all,p all
IND,257.8,152.187145,0.00605999999999995
EGY,515.3,296.895002,2.99999999999745e-05
BAN,446.9,300.191325,0.00255000000000005
MAS,342.6,177.930928,0.00585999999999998
IRQ,479,220.451253,0
INA,244.5,148.15568,0.02311
IRI,296.3,241.689285,0.17584
SWE,402.1,305.346493,0.02716
DEN,476.7,428.408936,0.19949
SGP,610.6,422.089423,0.0556100000000001
NOR,498.5,401.331272,0.08101
NED,339.6,274.376501,0.08035
RUS,254.3,81.576612,0
UAE,684.6,175.149914,0
AUS,458.5,338.511481,0.05896
SRI,354.8,109.949826,0
USA,366,231.398457,0.00416000000000005
FRA,328.2,190.868178,7.00000000000145e-05
TUR,365.1,198.655387,0.000750000000000028
CUB,316.1,84.917515,0
ESP,361.3,205.946384,9.99999999995449e-06
PER,542,249.811655,0
ECU,424,170.49561,0.00178
PHI,382.2,107.062328,0
SUI,395.7,292.100047,0.0202
KGZ,553.4,331.799788,0.00973000000000002
ARM,374.8,202.342821,0.00649999999999995
GEO,175.9,72.782538,0.0132100000000001
ARG,403.2,305.346357,0.05657
ITA,326.7,232.734659,0.01228
JOR,528.8,298.599363,0.00683
CHI,499.1,239.943429,0
MEX,378.3,144.432076,0
CRC,411.6,235.593055,0.00746000000000002
AZE,326.2,189.07758,0.01813
VEN,462.6,249.444156,7.00000000000145e-05
KAZ,187.5,150.502405,0.25713
GRE,388.9,181.890366,9.99999999995449e-06
ENG,425.3,291.389818,0.00578000000000001
POL,302.6,135.18725,9.99999999995449e-06
BRA,488.1,211.699554,0
CAN,436.7,325.649376,0.04323
ALG,488,247.453855,2.000000000002e-05
BIH,518.8,268.565456,0
UZB,378.4,197.857833,0.0114
ISR,400.9,280.279417,0.0219
GER,285.3,144.708908,0
POR,530.2,356.943594,0.00338000000000005
SLO,325.3,206.514463,0.00934000000000001
HUN,320.3,222.335952,0.0111599999999999
SRB,271.2,179.527907,0.00390999999999997
SVK,275.3,248.344187,0.28839
CRO,387.3,232.704141,0.000199999999999978
BEL,486.1,282.563484,9.99999999995449e-06
KEN,507.1,180.617521,0
ANG,577.8,219.98238,0
AUT,316.3,216.114503,0.00546000000000002
LAT,328.8,173.75622,0.00778999999999996
EST,335.5,172.598154,0.01133
RSA,519.8,252.340779,0
MDA,390.6,198.895607,0.01525
UKR,271.6,121.397746,0.000110000000000055
BLR,394.3,188.967807,0.00365000000000004
DOM,533.2,266.185471,0
COL,335.8,161.695754,7.00000000000145e-05
ROU,277.2,151.404934,0.00405999999999995
CZE,384.8,242.030611,0.000170000000000003
CHN,224.5,93.992208,0.00210999999999995
BOL,359.6,127.850076,0.000319999999999987
NEP,509.5,235.373001,0
BOT,435.2,160.81187,0
LTU,297.5,190.939847,0.05612
MGL,200.1,56.620445,0.00290999999999997
BUL,251.1,174.083908,0.07545
KOR,589.7,305.836989,0.00158000000000003
ZAM,655.7,285.620721,0
ZIM,592.2,199.638628,0
THA,595.6,222.43864,0
VIE,249,77.409352,0.00312000000000001
