country,Obs. all,Expected all,p all
IND,-15.4691072099861,0.0296873683569659,0.99739
BAN,-50.6675616773265,0.801300573246993,0.99035
EGY,25.2156420155358,0.59941808153383,0.09311
MAS,10.0878770581195,0.292402384244461,0.26271
CHN,6.58321729565768,0.217501871285917,0.34306
IRQ,3.20579591350526,1.00138713546534,0.46456
INA,-31.4923190708954,0.454206403772827,0.96458
GER,-19.2747187940725,0.0337776897645177,0.99999
SWE,-49.8493479072544,0.391978448439933,0.9985
NOR,-12.3084278034526,0.555273352817032,0.75596
DEN,-41.2197939508353,0.841417065625748,0.97098
IRI,-6.38812674681441,0.141540509694089,0.76985
USA,-24.917721139451,0.179271545013597,0.98754
NED,-41.03938952844,0.2911543850744,0.99871
FIN,-27.7628461964454,1.60184978351817,0.8342
ESP,-11.4425200284888,0.0269337360822744,0.97776
RUS,-0.913010760038844,0.0174143676097185,0.60456
FRA,8.524118543871,0.022267160090825,0.03542
ENG,-23.4335029999055,0.327346272595515,0.94353
SRI,56.2713965228524,0.0518419915043773,0
JOR,43.87763163905,1.01354773840037,0.06279
ECU,27.4578315633053,0.122931797292571,0.01491
PHI,36.6905928088728,0.407173735298686,0.02442
TUR,14.4622810925357,0.144456131381392,0.07067
SUI,-68.2679794220988,0.619564463007101,0.99985
GEO,28.4741523080239,0.212290320204915,0.03554
UKR,-0.780075172750571,0.0887027479946482,0.53603
KGZ,23.1989660838348,1.1078075945581,0.24188
ARG,19.1209613550569,0.327404688587739,0.10248
CUB,24.0018054694644,0.189920804602086,0.00432999999999995
BOL,33.1594186031442,0.295158625010505,0.02943
CHI,19.6038169892158,0.426419330512005,0.1074
MEX,40.1158498092384,0.145799185317019,4.99999999999945e-05
CRC,14.4787275856167,0.469122667720988,0.25629
GUA,47.6453600020032,1.64411701604377,0.09163
PER,41.4980532650965,0.339728699268586,0.00214000000000003
ESA,79.305179988822,1.40394029352022,0.01219
AUS,-11.4647293965261,0.494351430488249,0.74698
AZE,21.9330880619886,0.259249116054552,0.09095
VEN,21.2124535763893,0.202097664772157,0.05206
ITA,-8.20256326061394,0.154359659136277,0.82862
GRE,21.810632060417,0.0361795196717776,0.00700000000000001
CRO,-23.3820609824139,0.18105630132851,0.96166
CAN,32.9219173605959,0.506510383559044,0.03817
BEL,-7.93442819343466,0.428932474237838,0.69542
ALG,-3.87583781355426,0.632686496749595,0.5775
UZB,56.93989317261,0.424266898646465,0.00271999999999994
BRA,14.4526882940115,0.0246025987681893,0.03769
UAE,85.2929241924057,0.77017832661341,0.00436999999999999
BIH,-4.86690368150119,0.952597067622912,0.60845
KAZ,26.9148467075615,0.159411116618419,0.0335
TKM,59.8535142758395,0.721740012965514,0.01411
NGR,34.0210414379543,1.44982530806261,0.12642
TJK,7.78052445807049,1.23412617304235,0.44166
ROU,-11.1468734597636,0.162919613073123,0.86703
SLO,6.68178851786689,0.350810574669349,0.34786
ISR,-0.00909396917057848,0.376079186806211,0.50923
ANG,-36.9574857309605,1.32926569839334,0.90411
HUN,-29.6180326753735,0.0955532131952453,0.99954
SRB,-37.1786302601887,0.175493290659657,0.99998
SVK,-37.6374755438404,0.263104835544771,0.99822
CZE,-44.0390245673172,0.176101024385516,1
ARM,22.2190009964343,0.456423372380022,0.1309
ZAM,-46.2614470745454,1.40050004894459,0.95245
KEN,50.4506644389035,0.765984864023686,0.00700999999999996
EST,-13.9050481204516,0.702807992230862,0.69803
AUT,-45.0584939333916,0.337791364564766,0.99956
LTU,41.6973628381837,0.299594475914315,0.00666
LAT,14.7752813215922,0.383599952462784,0.24106
RSA,-2.6034199954953,0.351196928420825,0.57474
MDA,26.7973030408912,0.481410866429983,0.12016
POL,9.26316267632399,0.00934312237666289,0.05586
BLR,32.7686545986714,0.322303905587486,0.04234
MNE,-88.188764890572,2.594197713252,0.98698
POR,13.7694208267415,0.318385761013158,0.20645
DOM,22.0362213008108,1.09843628951083,0.18821
COL,-9.60574074107879,0.151967180472533,0.83887
NEP,17.1530743762612,1.03566303528989,0.23897
WLS,-30.4253950304865,1.55216657223719,0.84649
BOT,46.2577068155994,0.69464437177014,0.01971
MGL,-6.33608494551385,0.265879379024277,0.62486
BUL,14.2031052366004,0.224738944545455,0.17009
IRL,-40.7821415471387,1.65142390397688,0.92524
KOR,37.2297352978291,0.305087595228496,0.04168
NZL,0.701342882080496,1.81223969084485,0.51705
THA,70.0860917705987,0.808167728627301,0.00873999999999997
ZIM,24.5702443341547,1.16496784604017,0.22852
SGP,67.5726331407619,0.872068551754112,0.00980999999999998
MYA,-75.5868535571731,1.72536272561135,0.99816
VIE,50.7466404918514,0.0600780792290046,0.00221000000000005
