country,Obs. all,Expected all,p all
FRA,185.340699223788,0.0678844930346007,1
GER,214.413644197552,-0.0467983640640721,1
RUS,161.249137548652,0.0309467861636161,1
ESP,219.826128448115,0.00918472700638438,1
POL,141.617531248929,0.0338620018262558,1
IND,72.2565597886176,-0.00985968708789671,1
IRI,140.558218259309,0.0357958856937421,1
GRE,178.493398268398,0.0837170093670695,1
CZE,211.775674461009,0.143060214466402,1
TUR,109.030700390503,0.0553880815129547,1
HUN,177.189880447197,0.0336457909240455,1
BRA,262.199132405832,0.160549173172561,1
SRI,76.2753129968203,0.0865717981418923,1
SRB,209.7840300239,-0.0926773925858513,1
NED,196.138287692589,-0.0831752528518739,1
ITA,234.538731220267,-0.00109848927445888,1
COL,181.505432927836,0.0325365233665439,1
UKR,208.567776384001,-0.104846428737942,1
AUT,227.78653244682,-0.0394436633940225,1
SVK,166.039653533081,-0.00754325449317023,1
CHN,69.36425487988,-0.0742718454391897,0.9872
CRO,238.11203026593,-0.0228535168701671,1
ROU,130.08870148917,0.0678207563364922,1
MEX,234.716457840535,0.0113615870097403,1
BEL,211.739352581198,-0.151173139435415,1
SWE,254.225881218827,-0.116160519761935,1
ENG,211.882340821957,0.0113940286287583,1
KAZ,37.4308290155441,0.0732120474956825,0.93237
CUB,223.052049910873,-0.077489825311943,1
GEO,36.199475065617,-0.0898706779577086,0.81055
NOR,86.6363845393298,-0.0638850520797402,0.99355
USA,196.377008558243,0.0709495028474187,1
SUI,244.250991785214,0.0417260693247843,1
VIE,99.5996147919877,0.256685395993837,0.99135
LTU,114.927252488214,0.198013650471451,0.99358
ARG,128.966559957316,0.185401464052288,1
ISR,164.231168754519,-0.0146999472503799,0.99998
DEN,100.841705913135,-0.11331352433281,0.99319
EGY,267.199031609721,0.126517363237713,1
PHI,193.051535087719,0.0727470860745613,1
BAN,243.863664596273,-0.116521606625259,1
LAT,99.5233898305085,0.107762892655367,0.9726
SLO,128.158760029779,0.0464858786913725,0.99859
CHI,231.806732162989,-0.0759997646427231,1
KEN,272.213224637681,-0.182939244565217,1
BUL,84.0078573842513,-0.0963540883744512,0.96168
