country,Obs. all,Expected all,p all
IND,256,151.05333,0.00724000000000002
EGY,472.5,284.090545,0.000240000000000018
BAN,481.5,337.470445,0.00599000000000005
MAS,318.5,168.30291,0.01363
IRQ,464.5,225.249315,2.99999999999745e-05
INA,268.5,147.981315,0.00588999999999995
IRI,296,247.732205,0.20655
SWE,454.5,315.438105,0.00387000000000004
DEN,480.5,456.015315,0.33047
SGP,690.5,464.62206,0.05314
NOR,446,393.889855,0.22751
NED,341,279.874315,0.11281
RUS,255.5,88.419685,0
UAE,739,217.03071,9.99999999995449e-06
AUS,516,372.087005,0.03995
SRI,348,112.807315,0
USA,350.5,234.809545,0.0152099999999999
FRA,366.5,201.281915,0
TUR,387,221.868025,0.00122
CUB,338.5,86.87223,0
ESP,365.5,209.940905,9.99999999995449e-06
PER,586.5,275.214295,9.99999999995449e-06
ECU,427,168.620955,0.00599000000000005
PHI,363.5,100.62458,0
SUI,437,328.227435,0.0432900000000001
KGZ,570.5,374.644235,0.02291
ARM,389.5,206.448035,0.00919999999999999
GEO,171,80.14452,0.01427
ARG,405,322.93298,0.13345
ITA,327.5,253.300065,0.04531
JOR,501,269.771475,0.01609
CHI,473,246.33592,9.99999999995449e-06
MEX,380,150.69136,0
CRC,419,265.463305,0.02218
AZE,336,203.74964,0.0237000000000001
VEN,444.5,253.333475,0.000349999999999961
KAZ,203,150.177535,0.19877
GRE,391,200.880875,9.99999999995449e-06
ENG,490,329.96589,0.00283
POL,274,130.868275,9.9999999999989e-05
BRA,547,242.44976,0
CAN,394,330.247955,0.18083
ALG,556.5,281.793255,4.000000000004e-05
BIH,531,260.516975,9.99999999995449e-06
UZB,352,214.56237,0.05377
ISR,377.5,295.03137,0.11519
GER,303.5,154.268965,0
POR,508.5,371.0857,0.0283099999999999
SLO,322.5,214.76985,0.01862
HUN,287.5,228.270265,0.07618
SRB,279.5,197.24973,0.00914000000000004
SVK,281.5,260.788665,0.32511
CRO,379.5,242.2085,0.00131000000000003
BEL,520,291.51254,0
KEN,462.5,183.3531,0
ANG,573.5,230.992095,0
AUT,279,211.588365,0.05367
LAT,318.5,193.35089,0.02224
EST,292.5,164.97683,0.03005
RSA,548,270.73105,9.99999999995449e-06
MDA,354,189.61499,0.06467
UKR,273,133.585715,0.000499999999999945
BLR,401.5,189.86539,0.00934000000000001
DOM,523,269.46371,0
COL,345,186.197425,0.000680000000000014
ROU,270,147.76126,0.00593999999999995
CZE,358.5,239.50103,0.00158999999999998
CHN,247.5,100.501395,0.00107999999999997
BOL,369,128.763545,0.000990000000000046
NEP,510,234.96773,0
BOT,427,175.10509,0
LTU,349.5,224.16934,0.05867
MGL,217.5,59.56834,0.00446000000000002
BUL,268,170.66737,0.04282
KOR,634.5,326.386165,0.000990000000000046
ZAM,684.5,325.692575,0
ZIM,550,195.05578,0
THA,618,224.717245,2.000000000002e-05
VIE,232,69.265025,0.00844999999999996
