country,Obs. all,Expected all,p all
IND,3.71319807397219,0.0800910115006156,0.34181
EGY,8.71481104756066,0.788621139176297,0.37192
BAN,-24.5626493468859,1.01990150992463,0.86055
MAS,49.7251080082199,0.417534989210821,0.00316000000000005
IRQ,27.8888543749363,0.824129222706771,0.16578
INA,-55.4434449279731,1.0061362807485,0.96864
IRI,29.3859310185668,0.153355190178828,0.00121000000000004
SWE,-46.7342442012344,0.626728709434747,0.99013
DEN,-45.7694429045477,1.13342087249251,0.9623
SGP,56.8342544474347,2.30907750635865,0.12844
NOR,-15.6040111827422,0.754222678538238,0.75138
NED,-72.33624380611,0.473989478952096,0.99996
RUS,51.0002811860325,0.00706982021539232,0
UAE,181.810565969581,1.18005329634518,2.99999999999745e-05
AUS,1.69826921949004,0.78212232766541,0.48489
SRI,69.2268043679015,0.199220479883383,0
USA,-13.054834980737,0.30839797741829,0.82175
FRA,27.1087156731306,0.0565745727472682,0
TUR,34.1547701106545,0.133217342162298,0.000950000000000006
CUB,4.75709765590864,0.272659791281707,0.3918
ESP,4.08722736564715,0.0424866971022693,0.27804
PER,95.2081059423662,0.256554105100232,0
ECU,52.7285052560872,0.645946773615522,0.02281
PHI,90.8146552657543,0.266971421834258,0
SUI,-55.4730407201063,0.837907711655098,0.99234
KGZ,59.5802365416371,1.49185475568776,0.05559
ARM,53.2862246568403,0.747972783377062,0.04218
GEO,-9.8381084799077,0.463272772535655,0.65506
ARG,-32.2062636454699,0.586397900828595,0.94283
ITA,2.04226703297564,0.176111422658622,0.43478
JOR,43.8942309608716,1.52519700704686,0.1227
CHI,38.7748395391687,0.415999947523273,0.02769
MEX,30.4650472792709,0.341475260977495,0.03508
CRC,31.7462715997586,0.582804836631036,0.10965
AZE,43.7648154171832,0.583681376707263,0.06375
VEN,39.6264042207607,0.556370538450969,0.02546
KAZ,13.5005076480285,0.374854148697811,0.24364
GRE,70.7563697774037,0.144909718874897,0
ENG,-16.9298458433298,0.501759827995509,0.82901
POL,29.3928096196693,0.0746128781688743,0.00051000000000001
BRA,33.6298692070506,0.337993840999963,0.00309000000000004
CAN,-6.76579121905991,0.993879697809493,0.62044
ALG,36.2710554076231,0.732768010971867,0.09187
BIH,-47.7813178586346,2.23412993349392,0.90597
UZB,58.4504084364384,0.824157022431648,0.02205
ISR,8.72477569968009,0.828631191694277,0.36542
GER,-9.55082547864987,0.0569228729529783,0.93566
POR,16.9049811777529,1.08078569045968,0.28442
SLO,-33.7604044145915,0.871754410277418,0.91617
HUN,-28.9083135820476,0.174587719836201,0.989
SRB,-66.3572557097954,0.352280323389998,0.99999
SVK,-49.7841249855079,0.349904805895622,0.99964
CRO,-45.5729217626426,0.423994153895489,0.9946
BEL,11.7342494220013,0.358051462590222,0.25802
KEN,60.6770842055897,0.808475960720924,0.00561
ANG,-0.465229855469119,1.60042885529039,0.51866
AUT,-63.9283847130353,0.399386481647406,0.99989
LAT,19.4982272867923,0.61700394638946,0.24034
EST,28.2894241583911,0.765678128299859,0.21138
RSA,52.9900409412975,0.503953832850302,0.00417000000000001
MDA,68.8654294618116,0.842368595692373,0.02735
UKR,14.0573599038189,0.203342985312936,0.16693
BLR,34.5306328079931,0.579433607371161,0.12407
DOM,30.0469122233848,1.8744186638553,0.17502
COL,0.892859090801608,0.285695874797744,0.48651
ROU,5.75100658274027,0.245661908156853,0.35166
CZE,-52.2046242411445,0.288448484249693,1
CHN,-1.95061296325008,0.188576769461285,0.54297
BOL,80.6563179654843,0.399955844170078,0.00044999999999995
NEP,39.6759827924623,1.2069716309567,0.05647
BOT,32.6443550089726,0.453339053912764,0.06071
LTU,28.737673938854,0.344882169683642,0.12924
MGL,21.6225265800198,0.374668772273675,0.21134
BUL,19.3042899628395,0.533255318951418,0.21156
KOR,65.3911132532031,1.35169242771075,0.04003
ZAM,-27.8677696289467,2.12994281987032,0.7988
ZIM,34.4140870740454,1.64295879302661,0.19681
THA,140.77228915349,1.1225128790613,4.99999999999945e-05
VIE,35.4688316694562,0.211270782067991,0.0785400000000001
